          date_of_birth          join_date
2592         1977-06-02         1997-10-15
2593         1939-08-13         1999-04-09
2594         1963-11-07         2022-03-06
2595         1938-12-29         1996-06-22
2596         1994-07-30         2020-06-01
2597         1942-01-11         1995-07-15
2598         1959-06-01         2007-09-13
2599         1965-03-07         2016-04-17
2600         1945-03-01         1993-03-17
2601         1965-10-08         1998-10-09
2602         1974-04-22         2010-01-25
2603         1993-06-10         2017-04-09
2604         1964-02-12         2019-06-05
2605         2006-09-11         1995-09-25
2606         2003-02-14         2003-10-17
2607         1948-02-05         2011-12-11
2608         1966-08-17         2007-05-15
2609         1965-12-24         1993-03-02
2610         1994-08-19         2001-09-24
2611         1985-11-09         2006-01-16
2612         1977-07-23         2019-03-12
2613         1998-01-28         1999-08-05
2614         1979-09-18         2009-10-02
2615         2002-06-11         2001-07-31
2616         1952-03-23         1998-06-30
2617         1949-10-31         1996-02-15
2618         1991-06-27         1995-02-18
2619         1959-01-15         1992-12-21
2620         1969-01-05         2020-09-03
2621         1956-10-21         1998-11-25
2622         1959-02-05         2019-05-13
2623         1975-03-13         1993-02-14
2624         2000-12-04         1998-12-24
2625         1969-08-22         1994-07-08
2626         1957-04-09         2019-08-13
2627         1991-04-02         2013-08-05
2628         1945-01-31         2011-08-13
2629         1945-10-11         1994-09-01
2630         1966-05-30         1999-02-24
2631         1998-09-01         1999-04-15
2632         2002-01-21         1995-07-08
2633         1990-06-06         2008-06-03
2634         2001-06-25         2018-09-02
2635         1955-03-01         2016-09-17
2636         1964-09-26         1994-05-24
2637         1987-02-06         2007-12-29
2638         1994-07-27         2004-07-26
2639         1980-10-25         2016-09-18
2640         1940-04-01         2022-07-16
2641         1997-10-16         1996-05-06
2642         1967-06-28         1998-03-05
2643         1989-10-02         2014-03-11
2644         1941-08-06         2002-01-25
2645         1943-01-13         1992-12-19
2646         1971-07-28         1999-09-05
2647         1998-06-05         2011-09-22
2648         1957-01-25         1999-10-20
2649         1959-12-03         2015-12-24
2650         1946-11-02         2011-08-02
2651         1987-08-22         2003-08-14
2652         2006-04-18         2009-12-08
2653         1966-09-30         1993-10-08
2654         1951-09-29         2015-09-02
2655         1964-01-22         2012-12-31
2656         1966-03-17         2020-08-29
2657         1975-08-08         1994-01-26
2658         1969-02-14         2013-10-16
2659         1943-01-23         2019-08-26
2660         1944-02-03         1996-08-07
2661         1978-02-24         2018-06-17
2662         1975-08-21         2012-02-07
2663         1964-04-16         1993-12-17
2664         1962-03-03         2015-05-03
2665         1967-02-05         2015-04-16
2666         1984-08-30         2011-07-29
2667         1988-06-21         2002-03-01
2668         1977-01-16         2021-03-28
2669         1973-07-28         1997-01-24
2670         1948-04-15         2005-09-24
2671         2003-04-08         2000-04-02
2672         1979-10-28         2003-08-06
2673         1983-01-26         2000-07-14
2674         1965-10-14         2016-09-07
2675         1968-02-08         1997-07-04
2676         1954-11-01         2010-11-14
2677         1958-05-14         2011-06-17
2678         1995-04-15         2005-08-07
2679         1971-01-06         2019-01-23
2680         1994-07-23         2019-06-17
2681         1983-03-14         2002-01-16
2682         1995-11-26         2018-02-28
2683         1947-11-03         2020-06-15
2684         1973-09-13         2013-09-05
2685         2001-04-14         1997-07-31
2686         1945-09-09         2020-07-26
2687         1996-04-23         2015-03-12
2688         1992-01-02         1998-02-06
2689         1996-04-04         1994-12-04
2690         2001-06-10         2006-10-24
2691         1967-08-27         2022-06-16
2692         2000-03-14         2002-09-13
2693         2005-12-13         2004-02-03
2694         1946-09-24         2000-10-28
2695         1954-11-26         2021-07-25
2696         2002-08-17         2021-05-06
2697         2005-05-25         2022-11-16
2698         1950-08-13         2012-03-11
2699         1974-10-08         2019-01-03
2700         1948-06-27         2010-05-28
2701         1996-04-01         1993-01-26
2702         1944-08-20         2019-03-03
2703         1954-08-11         2019-01-29
2704         2001-01-30         2014-08-09
2705         1985-06-06         2012-10-19
2706         1990-01-28         2008-10-12
2707         1993-12-19         1994-05-23
2708         1950-04-21         1999-06-06
2709         1959-05-20         2011-08-31
2710         1992-09-04         2016-04-01
2711         1965-12-28         2019-01-10
2712         1945-03-06         2010-12-20
2713         1987-08-16         1993-01-23
2714         1979-07-08         2012-08-14
2715         1945-10-03         1995-06-09
2716         1951-11-18         1993-09-02
2717         1941-06-04         2016-10-11
2718         1989-11-06         2011-03-11
2719         1977-09-18         1995-03-21
2720         1981-07-16         2019-02-08
2721         1997-09-15         2022-03-16
2722         1974-10-21         1994-02-06
2723         1985-06-22         2001-04-10
2724         1995-06-14         2008-09-04
2725         1975-10-23         2005-03-19
2726         1982-11-18         2009-05-07
2727         1950-04-13         2021-07-07
2728         1980-05-21         2010-01-09
2729         1944-04-21         2003-05-12
2730         1941-06-12         2020-11-29
2731         2005-10-11         2001-02-06
2732         1963-10-05         2004-09-22
2733         1990-03-31         2001-08-06
2734         1940-09-23         1994-11-01
2735         1985-08-17         2021-05-31
2736         1997-12-05         2000-03-01
2737         1987-02-07         2014-05-24
2738         1999-07-24         2000-03-07
2739               NULL               NULL
2740         1964-07-28         2011-05-03
2741         1981-03-24         2013-11-02
2742         1945-06-16         2018-08-01
2743         1957-05-10         2007-08-26
2744         1946-12-29         1998-05-20
2745         1990-05-29         2012-11-14
2746         1991-12-18         2007-10-10
2747         1988-07-19         1999-06-28
2748         1960-07-24         2000-10-08
2749         1987-02-13         2012-09-14
2750         1970-02-10         2021-06-23
2751         1952-01-31         2017-11-04
2752         1975-01-19         1993-06-19
2753         2005-09-05         2002-12-03
2754         1988-07-20         2011-03-29
2755         2005-06-20         1999-10-23
2756         1960-01-16         2018-01-13
2757         1959-12-14         1996-08-30
2758         1993-12-29         2000-05-22
2759         1958-12-03         2014-07-27
2760         1963-12-31         2009-10-08
2761         1946-03-23         2008-01-21
2762         1979-06-14         2021-03-03
2763         1968-05-08         2003-09-16
2764               NULL               NULL
2765         1983-01-08         2016-10-30
2766         1956-07-16         1998-05-27
2767         1942-09-04         2012-08-22
2768         1991-09-17         2003-08-12
2769         1989-02-26         2007-08-12
2770         1995-12-02         2011-12-09
2771         1967-06-01         1994-05-29
2772         1992-11-24         2006-02-20
2773         1971-03-18         2017-09-21
2774         1968-08-31         2009-04-01
2775         2006-02-27         2005-04-25
2776         1954-07-16         1995-12-01
2777         1979-10-05         2021-05-12
2778         1943-08-21         2018-06-30
2779         1953-05-01         2003-04-12
2780         1989-07-12         2001-05-04
2781         1989-02-16         2011-11-26
2782         1997-12-03         2005-07-02
2783         1995-07-10         2013-11-10
2784         1993-03-06         2016-09-12
2785         1976-08-28         2017-08-10
2786         1944-11-05         1998-12-28
2787         1951-10-08         2007-01-27
2788         1980-11-07         2003-01-11
2789         1983-07-12         2015-06-07
2790         1996-01-22         1995-12-13
2791         1994-03-12         2010-02-07
2792         1953-01-20         2006-04-10
2793         1987-08-24         2007-03-02
2794         1977-05-05         1993-08-31
2795         1952-01-18         1997-02-16
2796         1954-07-19         2020-06-19
2797         2002-04-26         2020-04-18
2798         1961-01-23         2012-08-26
2799         2006-09-09         2018-03-29
2800         1967-04-20         2015-05-01
2801         1977-05-13         2007-03-19
2802         1998-10-06         2011-10-06
2803         1950-03-27         2013-12-24
2804         1987-11-20         2017-10-21
2805         1979-02-04         2018-11-27
2806         1978-11-06         2019-05-20
2807         1972-10-27         2022-01-29
2808         1974-02-06         2013-10-11
2809         1990-10-28         1995-10-13
2810         1992-12-02         2006-04-30
2811         1998-01-23         2003-03-25
2812         1968-12-15         2001-07-25
2813         1952-10-21         2009-04-20
2814         2003-09-25         2008-10-15
2815         1988-03-18         2008-09-29
2816         1963-01-30         1993-05-23
2817         1983-06-23         2001-03-11
2818         1954-08-22         2005-08-06
2819         1995-08-25         1996-05-21
2820         1939-08-27         2004-12-11
2821         2005-11-27         2003-10-31
2822         1976-09-22         2002-06-22
2823         1991-10-08         1994-06-22
2824         2000-10-31         2000-07-21
2825         1968-03-15         2008-09-03
2826         1974-10-22         2020-06-29
2827         1963-12-14         2021-08-19
2828         2005-11-05         2003-12-21
2829         1949-06-30         2016-06-06
2830         1969-11-21         2020-02-04
2831         1981-01-27         2005-05-12
2832         1965-12-28         2010-12-09
2833         1941-09-16         2008-09-24
2834         1941-10-23         2021-10-15
2835         1988-07-17         1993-12-03
2836         1949-07-31         2003-05-23
2837         1943-03-28         1994-03-26
2838         2005-12-27         2001-10-09
2839         1977-02-16         1998-06-22
2840         1982-03-28         2011-07-07
2841         1956-09-20         1998-10-01
2842         1986-06-13         2021-05-09
2843         2004-03-30         2019-10-21
2844         1948-01-15         2018-02-07
2845         1987-01-31         2000-11-29
2846         1950-10-27         2010-03-24
2847         1988-01-07         2013-10-11
2848         1962-07-13         1999-12-22
2849         1989-07-29         2016-04-29
2850         2004-03-06         2020-01-05
2851         1972-09-28         2007-06-14
2852         1999-07-24         2018-01-29
2853         1947-12-19         2007-12-28
2854         1970-04-18         2005-06-24
2855         1963-10-19         1997-05-09
2856         1978-09-23         2007-11-09
2857         1950-12-03         2017-09-02
2858         1949-09-04         2021-06-28
2859         1943-11-29         2014-02-22
2860         2005-10-02         2021-05-28
2861         1990-05-06         1993-08-16
2862         1994-11-14         2016-01-11
2863         1998-04-07         2016-11-22
2864         1979-02-28         2022-05-09
2865         1971-01-12         2017-08-13
2866         1957-06-28         2011-10-12
2867         1952-05-30         2015-08-13
2868         1964-05-20         2003-04-09
2869         1939-03-11         2013-07-31
2870         1981-01-31         2000-05-27
2871         1963-11-17         2011-08-29
2872         1974-02-16         2013-02-07
2873         1943-10-12         2012-12-04
2874         1968-04-23         1996-05-03
2875         1949-04-14         2002-10-09
2876         1980-10-05         2018-12-09
2877         1969-05-19         1999-03-12
2878         1941-10-15         1995-09-16
2879         1999-06-15         2004-11-15
2880         1945-09-21         2003-12-28
2881         1970-06-08         2020-07-28
2882         1944-07-22         1995-10-22
2883         1977-11-11         1998-05-20
2884         1964-06-09         1999-11-04
2885         1947-02-24         2019-05-16
2886         1980-09-13         2009-09-02
2887         1944-10-30         2022-01-17
2888         2004-03-04         1993-11-05
2889         1981-02-14         2003-07-01
2890         1988-04-04         2005-05-21
2891         1956-02-08         1995-05-01
2892         1983-06-22         2015-03-31
2893         1965-08-23         2001-04-11
2894         1985-03-11         2019-08-27
2895         1997-01-12         1994-09-06
2896         1961-12-23         2011-10-26
2897         1986-05-26         2019-12-18
2898         1998-01-13         2015-11-05
2899         1950-08-03         2020-01-25
2900         1953-05-31         2016-01-27
2901         1988-02-16         1995-05-19
2902         2004-03-24         2014-08-27
2903         1952-06-17         2000-09-02
2904         2003-04-24         1999-09-23
2905         2002-09-30         2011-08-09
2906         1976-10-17         2002-12-11
2907         1987-09-05         2005-01-29
2908         1963-01-11         1994-12-11
2909         1999-12-28         1993-05-05
2910         1944-05-08         2015-08-16
2911         1946-11-20         2001-12-20
2912         1990-11-24         2020-09-18
2913         1994-10-21         1996-10-26
2914         1969-09-17         2004-04-10
2915         1970-09-18         2011-09-15
2916         2001-08-20         1994-03-16
2917         1999-01-26         1998-06-10
2918         1956-07-09         2017-08-11
2919         1964-08-23         1999-04-26
2920         1974-11-17         2019-09-30
2921         1968-11-19         2014-11-21
2922         1949-01-09         2017-10-22
2923         1961-08-27         2000-11-10
2924         1967-02-19         2005-11-19
2925         1970-10-06         1993-03-14
2926         1985-09-26         2008-01-21
2927         1952-12-18         2004-06-23
2928         1999-06-15         2016-10-17
2929         1954-05-01         2002-05-20
2930         2003-01-08         2012-04-19
2931         1951-05-28         2001-11-23
2932         1998-02-08         1998-06-25
2933         1984-06-06         2020-08-10
2934         1951-10-05         2011-10-25
2935         1941-11-16         2018-05-05
2936         1972-06-01         1996-10-29
2937         1994-11-25         1999-06-25
2938         1987-01-11         2014-08-04
2939         1987-03-23         2021-12-16
2940         1961-07-15         2009-08-29
2941         1958-05-12         2009-12-28
2942         1968-01-09         1999-01-24
2943         1996-05-13         2001-11-13
2944         1964-11-12         2009-09-08
2945         1984-06-06         2020-06-23
2946         1952-02-25         2007-03-28
2947         1982-10-31         1994-05-03
2948         1980-11-17         2007-03-14
2949         1944-11-12         2019-02-18
2950         1986-05-02         2004-02-21
2951         1997-11-21         2022-09-25
2952         1943-11-06         2010-11-24
2953         2000-05-28         2019-08-10
2954         1963-02-08         2016-01-26
2955         1943-08-10         2001-05-22
2956         1945-10-10         1999-09-02
2957         1976-10-13         2022-04-16
2958         1997-05-12         2003-03-21
2959         1978-11-08         2006-07-07
2960         1952-09-28         2019-03-10
2961         1950-02-20         2020-09-05
2962         1959-03-26         1999-01-18
2963         1986-12-24         1997-03-26
2964         1967-07-12         1993-07-10
2965         1958-04-18         1999-11-25
2966         1982-06-20         1993-03-03
2967         2004-02-17         2000-04-07
2968         1944-06-17         1996-06-11
2969         1957-05-30         2014-05-17
2970         1997-11-12         2005-07-23
2971         1988-01-21         2008-06-11
2972         1991-02-17         2015-09-06
2973         1997-01-07         1994-11-26
2974         1991-03-06         2007-03-21
2975         1942-01-31         2001-06-04
2976         1958-03-10         2018-09-10
2977         1941-07-17         1996-04-19
2978         1970-03-20         2004-05-12
2979         1995-10-19         2017-05-13
2980         2000-06-12         2005-02-12
2981         1995-04-03         2018-07-13
2982         1992-03-10         2012-05-29
2983         1939-07-16         2017-10-11
2984         1969-06-19         2007-04-21
2985         1991-04-10         1998-05-26
2986         1990-01-22         1995-07-21
2987         1988-10-14         2013-08-08
2988         1986-07-01         2015-10-22
2989         2000-11-02         2003-07-23
2990         1957-07-03         2014-03-06
2991         1993-12-05         2001-12-13
2992         1950-11-05         2004-04-08
2993         1974-12-29         2008-07-09
2994         1989-04-05         1994-06-22
2995         PQPEUO937L         FYF2FAPZF3
2996         1977-06-13         2021-04-28
2997         1980-04-26         1994-09-06
2998         1958-08-04         2014-11-20
2999         2001-01-31         2002-12-14
3000         1991-04-10         2016-12-22
3001         1996-08-31         2022-01-27
3002         1994-01-09         1997-07-30
3003         2003-06-17         2021-04-21
3004         1969-10-06         1999-02-19
3005         1981-03-29         2002-02-26
3006         1950-05-14         2017-01-05
3007         2002-10-06         1994-07-07
3008         1940-01-28         1998-07-13
3009         1995-04-22         1996-12-26
3010         1963-09-14         2006-12-29
3011         1963-07-21         2006-10-05
3012         1957-02-18         2011-11-20
3013         1987-08-20         1999-03-19
3014         1978-10-15         2007-02-15
3015         1960-12-29         2011-08-30
3016         1967-09-09         2019-12-27
3017         2006-10-31         2008-07-19
3018         1989-08-30         2013-02-05
3019         1984-06-07         2018-01-03
3020         1943-03-05         2003-04-07
3021         1953-01-01         1994-03-02
3022         1947-06-16         2005-11-20
3023         1952-08-18         2020-11-06
3024         1946-09-01         1995-11-08
3025         1966-09-15         1994-08-18
3026         2000-08-24         1996-11-21
3027         1982-04-19         2004-06-20
3028         1997-09-15         1997-10-21
3029         1994-12-02         1993-04-26
3030         1975-03-13         2000-07-17
3031         2004-05-13         2021-11-06
3032         1961-10-04         1994-09-09
3033         1990-09-06         2002-02-11
3034         2005-05-15         2012-05-02
3035         1950-10-19         2004-10-18
3036         1954-12-28         1998-05-01
3037         1959-06-18         2008-09-27
3038         1983-12-04         2022-09-26
3039         1988-10-05         1996-01-13
3040         2006-05-01         2014-08-09
3041         1982-09-17         2005-09-10
3042         1974-10-30         2022-06-21
3043         1943-09-21         1998-10-26
3044         1993-11-17         1993-08-09
3045         1950-03-12         2016-03-26
3046         1958-10-22         1996-09-20
3047         1961-06-08         2012-06-23
3048         1986-11-15         1997-10-21
3049         1959-11-14         2020-10-19
3050         1982-12-28         2007-08-02
3051         2005-04-04         2008-06-03
3052         1956-05-14         2002-08-07
3053         2000-05-08         2011-05-29
3054         1975-09-26         1996-04-20
3055         1998-12-24         2020-01-29
3056         1976-09-10         1997-09-12
3057         1990-12-05         1998-10-19
3058         1965-12-13         1997-01-28
3059         1949-11-25         2010-01-18
3060         1995-10-16         2001-06-24
3061         1945-09-09         1996-09-25
3062         1974-04-26         1999-09-11
3063         1972-03-15         2008-08-21
3064         1995-12-14         2015-11-25
3065         1992-07-02         2014-02-22
3066    1946 October 18         1993-07-22
3067         1957-04-29         2005-08-24
3068         1951-01-16         2022-09-02
3069         1962-05-20         2020-05-07
3070         1982-04-07         1993-05-02
3071         1990-12-05         1996-02-23
3072         1974-08-16         1993-03-21
3073         1983-05-28         1998-07-05
3074         1971-06-14         2018-10-08
3075         1946-04-23         1999-12-22
3076         1970-04-19         2012-11-22
3077         1962-01-03         2005-06-16
3078         1970-06-20         1994-12-30
3079         1955-12-01         2013-05-18
3080         1982-09-29         2022-02-19
3081         1978-09-18         2001-06-20
3082         1992-05-29         2020-01-10
3083         1977-06-27         1997-06-30
3084         1953-12-10         2020-09-12
3085         1968-08-20         2010-04-27
3086         1950-02-21         2006-12-31
3087         1969-12-09         2009-10-11
3088         1994-09-16         2019-03-14
3089         1987-03-28         2021-05-14
3090         1966-11-26         2007-09-14
3091         1969-02-20         2003-06-06
3092         1995-08-22         1993-01-22
3093         1987-05-11         2009-05-23
3094         1951-04-27         2016-10-20
3095         1989-12-02         2004-06-12
3096         1973-06-06         2019-10-21
3097         1965-09-25         2011-01-30
3098         2003-06-14         2017-12-08
3099         1967-04-17         1996-08-07
3100         1969-09-20         2007-10-28
3101         2002-11-09         2009-11-26
3102         2000-12-25         2003-01-21
3103         1975-05-09         1994-03-29
3104         1957-12-25         2020-01-04
3105         1939-05-05         2015-01-11
3106         1969-12-09         2013-04-16
3107         1998-10-14         2018-05-12
3108         1973-03-25         2014-05-14
3109         1988-06-04         2018-07-24
3110         2005-02-07         2012-02-14
3111         1975-02-27         2005-04-27
3112         1978-11-15         2006-07-26
3113         1945-12-26         2003-04-10
3114         1979-04-23         2012-07-24
3115         1976-06-24         2016-10-13
3116         1962-06-04         2012-05-26
3117         1968-04-29         1999-12-24
3118         1986-02-16         1995-03-17
3119         1987-02-27         1997-09-19
3120         1997-11-25         1996-01-04
3121         1989-06-27         2001-08-04
3122         1964-03-05         2008-11-11
3123         1997-06-27         1995-02-07
3124         1951-05-05         1995-04-18
3125         1998-05-25         1998-01-22
3126         1960-01-02         1999-06-12
3127         1978-01-10         2005-08-25
3128         1962-05-08         1996-09-07
3129         1940-03-11         2009-07-11
3130         2002-04-19         2021-10-11
3131         2005-08-11         2001-09-09
3132         1955-10-20         1999-02-06
3133         1973-11-18         2001-02-15
3134         1941-11-28         1997-04-12
3135         1968-10-15         2000-05-21
3136         1978-07-19         2004-11-26
3137         1953-04-01         2017-04-15
3138         1978-09-27         2005-04-09
3139         1971-01-04         2020-12-04
3140         1990-11-02         2009-12-30
3141         1943-09-30         2005-02-17
3142         1978-11-30         2005-09-04
3143         1942-01-13         1997-03-17
3144         1963-07-21         2010-03-23
3145         2000-08-28         1996-01-14
3146         1974-09-22         2013-01-13
3147         1983-02-23         2006-01-21
3148         1984-03-05         1993-12-06
3149         1981-02-25         2008-04-03
3150         1989-01-13         2019-04-27
3151         1964-07-27         2009-11-15
3152         1983-03-13         2010-08-05
3153         1993-08-06         2018-11-01
3154         1946-05-09         2017-05-11
3155         1961-02-15         2015-06-29
3156         1991-09-24         2006-01-15
3157         1980-02-25         2017-11-30
3158         1948-09-14         1998-03-11
3159         1989-07-08         1995-04-10
3160         1954-12-04         2016-10-14
3161         1965-12-20         2016-06-13
3162         1995-12-15         2020-10-04
3163         1961-05-22         2021-10-07
3164         1960-10-30         2008/12/23
3165         1999-06-05         2008-07-01
3166         1961-04-17         2017-11-22
3167         1942-12-21         1995-10-14
3168         2004-07-05         1998-04-21
3169         1974-06-25         2018-07-13
3170         1994-12-24         2018-05-13
3171         1991-07-19         2012-02-10
3172         1983-05-02         2005-03-04
3173         1940-04-28         1998-08-06
3174         1967-12-08         1993-12-08
3175         1954-02-13         2012-06-12
3176         1981-06-11         1996-04-14
3177         2005-01-26         1996-11-29
3178         1979-10-27         2005-07-10
3179         1993-11-08         2004-11-30
3180         1974-06-28         2013-06-18
3181         1998-05-11         2004-04-18
3182         1942-02-19         1999-02-03
3183         1992-09-06         2002-09-16
3184         1940-03-26         1993-03-19
3185         1988-08-30         2020-11-11
3186         1977-11-26         2010-03-02
3187         1955-03-22         2006-07-12
3188         1980-09-23         2003-03-16
3189         1947-01-23         2017-03-22
3190         1968-05-19         2002-07-16
3191         1942-01-06         1996-09-06
3192         1975-01-22         1994-07-08
3193         1994-04-16         1997-03-26
3194         1959-08-22         2000-04-17
3195         1999-08-28         1994-11-06
3196         1942-08-30         2009-12-02
3197         1940-04-28         2017-07-17
3198         1978-05-28         2017-03-07
3199         1953-06-14         2015-02-19
3200         1954-08-04         2019-01-05
3201         1957-05-16         1994-11-21
3202         1960-06-10         1999-02-23
3203         1986-01-16         2015-08-17
3204         2003-06-08         2017-09-03
3205         1992-01-31         2004-06-21
3206         1973-01-25         1997-10-24
3207         1967-04-19         1994-10-09
3208         1962-01-14         1994-06-27
3209         2005-06-14         2008-11-23
3210         1989-05-05         2012-04-07
3211         1980-09-27         2015-04-01
3212         1945-11-21         2004-05-18
3213         1997-06-23         2021-05-21
3214         1986-11-24         2010-05-14
3215         1939-08-07         2008-04-22
3216         1968-03-11         2014-09-01
3217         2000-10-22         2011-04-30
3218         1942-05-01         2001-07-23
3219         1993-08-24         2015-07-24
3220         1994-08-31         2010-03-06
3221         1982-03-29         1995-06-08
3222         1957-08-14         2017-11-21
3223         1966-07-13         2006-05-28
3224         2006-09-18         1995-11-09
3225         2006-11-12         2008-07-27
3226         1992-12-26         1999-05-22
3227         1941-07-26         2016-05-20
3228         2003-10-25         2005-06-10
3229         1968-05-10         2014-07-07
3230         1957-08-10         2019-08-02
3231         1943-05-24         1998-11-10
3232         1986-09-10         1997-09-28
3233         1968-08-01         2004-11-08
3234         1972-07-10         2019-01-19
3235         1971-10-15         1994-05-21
3236         2003-12-27         2010-08-03
3237         1979-01-23         2017-03-13
3238         1951-10-15         1999-08-11
3239         1963-10-26         2011-01-16
3240         2000-08-16         1997-07-24
3241         1961-07-01         1998-07-16
3242         2004-07-02         2021-10-08
3243         2005-08-08         2009-01-26
3244         1985-06-11         2001-09-06
3245         1979-06-19         2001-02-12
3246         1940-11-04         1994-05-27
3247         1991-10-07         1993-01-05
3248         1956-01-16         2021-01-23
3249         1946-10-17         2000-11-13
3250         1978-10-31         2000-03-18
3251         1959-05-19         2001-05-22
3252         1970-12-09         1995-09-26
3253         1984-02-04         2022-05-10
3254         1954-12-09         1999-07-09
3255         1967-01-14         1999-04-16
3256         1945-06-20         2022-07-03
3257         1986-02-23         2016-12-10
3258         2001-06-11         1998-03-08
3259         1958-02-16         1999-01-20
3260         1965-12-01         2022-10-08
3261         1972-07-28         2003-08-03
3262         1942-08-13         2000-08-03
3263         2003-11-26         2006-06-13
3264         1969-07-11         2020-10-23
3265         1993-11-01         2020-04-12
3266         1966-08-12         2004-12-21
3267         1981-07-28         2005-06-22
3268         1997-08-01         2015-03-02
3269         1977-09-18         1998-08-17
3270         1992-08-18         2011-08-01
3271         1979-07-06         1995-06-25
3272         1948-12-15         2018-07-30
3273         1951-03-29         2019-09-28
3274         1957-10-21         2020-07-13
3275         1978-11-23         1994-11-22
3276         1995-12-14         2009-11-11
3277         1959-10-13         2019-03-21
3278         1965-06-21         1999-01-19
3279         1960-06-14         1995-10-29
3280         1948-04-22         1999-02-24
3281         1979-10-27         2012-02-08
3282         2002-07-08         2020-06-24
3283         1971-11-13         2018-12-23
3284         1965-06-28         2002-08-26
3285         1971-11-09         1994-05-06
3286         1968-04-01         1993-10-10
3287         1993-05-13         2014-03-29
3288         1968-09-22         2007-07-20
3289         1979-09-21         1994-04-08
3290         1966-03-25         2008-08-29
3291         1993-04-22         1997-05-24
3292         1962-08-26         2022-06-10
3293         1957-02-21         2004-08-26
3294         1967-01-09         2011-12-31
3295         1956-10-06         1995-01-07
3296         2005-01-04         2006-04-21
3297         1977-11-16         2016-04-25
3298         1962-09-15         2000-12-07
3299         1993-08-01         2021-04-03
3300         1990-01-29         2000-09-07
3301         1942-11-10         2007-08-08
3302         1967-03-24         2013-12-04
3303         1966-02-24         1996-01-04
3304         1944-02-05         2002-07-28
3305         1979-12-30         1994-09-16
3306         1968-03-13         2001-03-08
3307         1998-01-13         2014-06-26
3308         1942-10-12         1996-09-06
3309         1970-04-11         2022-10-26
3310         1962-01-30         2003-04-08
3311         1972-11-16         2003-01-31
3312         1950-10-20         2006-12-31
3313         1954-09-17         2008-03-15
3314         2004-05-24         2002-09-13
3315         1980-07-28         1998-05-19
3316         1964-04-08         2006-05-30
3317         1970-02-27         2020-07-07
3318         1975-07-06         2011-11-15
3319         2006-05-23         1998-09-01
3320         1986-08-21         1994-08-17
3321         1957-04-15         2010-01-07
3322         1948-01-27         2015-12-17
3323         1994-06-15         2011-04-15
3324         1958-12-28         2007-08-30
3325         1957-08-03         2017-11-16
3326         2004-11-03         2000-04-21
3327         1955-08-29         2008-09-16
3328         1955-08-18         2003-05-03
3329         1951-02-25         2007-05-28
3330         1998-06-05         2007-05-05
3331         1999-08-13         1994-10-11
3332         1983-05-30         2016-06-18
3333         1988-10-19         2002-04-19
3334         1962-07-09         1998-03-02
3335         1956-10-22         2022-06-26
3336         1961-01-24         2016-10-05
3337         1952-04-28         2015-04-26
3338         1952-04-26         2009-06-03
3339         1940-05-10         2002-02-04
3340         1944-05-23         2011-01-20
3341         1984-04-13         2006-07-13
3342         1952-08-10         2011-11-05
3343         1982-06-21         1995-09-16
3344         2005-04-02         2005-11-08
3345         2001-04-03         2001-12-23
3346         1968-04-15         1997-01-15
3347         1994-11-27         1993-09-07
3348         1996-10-04         1996-06-05
3349         2000-08-16         1998-05-28
3350         1952-12-16         2017-07-23
3351         1968-04-22         1993-09-12
3352         2002-06-17         2014-12-19
3353         1945-11-12         2012-09-19
3354         1965-12-06         1994-11-16
3355         2002-05-16         2013-07-25
3356         1960-09-07         2018-03-18
3357         1948-08-07         2007-10-19
3358         1971-04-07         2000-11-23
3359         2001-02-09         2004-06-09
3360         2003-04-14         2019-02-09
3361         2005-11-09         2018-08-11
3362         1973-06-19         2000-12-22
3363         2003-12-22         1998-12-11
3364         1969-03-24         2004-02-02
3365         1998-01-07         2018-10-13
3366         1985-08-20         2007-08-09
3367         2006-04-07         2015-06-18
3368         1975-04-14         1997-06-02
3369         2004-09-15         2005-06-04
3370         1955-04-25         2014-08-27
3371         1980-12-02         1995-05-26
3372         2005-10-06         2022-09-27
3373         1996-02-18         2013-04-02
3374         1960-12-28         2002-04-01
3375         1970-12-22         1994-02-13
3376         1965-03-20         2022-07-11
3377         1994-02-14         2015-04-26
3378         1977-06-30         2000-07-17
3379         1990-04-18         2008-04-22
3380         1996-02-04         2004-04-26
3381         1949-07-10         2017-03-31
3382         1950-05-26         1995-02-13
3383         1953-06-14         2005-03-27
3384         1966-11-11         1996-06-17
3385         1976-03-27         2016-12-19
3386         1964-01-31         2011-02-23
3387         2000-11-16         2019-05-06
3388         1962-11-10         2002-03-17
3389         1976-12-23         2004-11-06
3390         1939-07-30         2014-08-04
3391         1974-12-21         2002-04-14
3392         1953-12-04         2019-07-14
3393         1967-11-22         2002-03-14
3394         1970-04-28         2009-12-04
3395         1950-09-18         1998-02-13
3396         1984-09-16         1997-09-24
3397         1953-12-28         2016-10-18
3398         1960-11-04         2011-12-31
3399         1965-03-19         2009-02-18
3400         1948-03-03         1995-07-22
3401         1941-07-14         2005-10-20
3402         2004-01-01         2002-04-01
3403         1947-08-14         2005-12-31
3404         1942-03-19         2013-08-22
3405         1995-08-22         2009-01-24
3406         1956-07-15         1994-06-30
3407         1958-08-04         2008-08-12
3408         1947-04-14         2000-10-13
3409         1973-12-13         2016-02-07
3410         1983-06-23         1998-08-03
3411         1987-02-19         2014-11-30
3412         1999-11-25         2001-04-12
3413         1989-09-02         2003-05-03
3414         1962-11-18         1999-08-16
